timestamp,t_seconds,arduino_raw_line,pressure_psig,voltage_V,current_A,latest_command,actuator_19_cmd,actuator_15_cmd,actuator_18_cmd,actuator_12_cmd
2026-05-22T13:57:19.834,0.0000,Arming ESC...,,0.0,0.0,,,,,
2026-05-22T13:57:20.042,0.2076,,,0.0,0.0,,,,,
2026-05-22T13:57:20.249,0.4152,,,0.0,0.0,,,,,
2026-05-22T13:57:20.456,0.6228,,,0.0,0.0,,,,,
2026-05-22T13:57:20.663,0.8299,,,0.0,0.0,,,,,
2026-05-22T13:57:20.871,1.0370,,,0.0,0.0,,,,,
2026-05-22T13:57:21.078,1.2445,,,0.0,0.0,,,,,
2026-05-22T13:57:21.285,1.4513,,,0.0,0.0,,,,,
2026-05-22T13:57:21.492,1.6581,,,0.0,0.0,,,,,
2026-05-22T13:57:21.699,1.8657,,,0.0,0.0,,,,,
2026-05-22T13:57:21.907,2.0729,,,0.0,0.0,,,,,
2026-05-22T13:57:22.115,2.2812,,,0.0,0.0,,,,,
2026-05-22T13:57:22.322,2.4884,,,0.0,0.0,,,,,
2026-05-22T13:57:22.531,2.6958,"0.10,0.18,0,0",0.18,0.0,0.0,,,,,
2026-05-22T13:57:22.739,2.9047,"0.30,0.55,0,0",0.55,0.0,0.0,,,,,
2026-05-22T13:57:22.947,3.1129,"0.50,2.00,0,0",2.0,0.0,0.0,,,,,
2026-05-22T13:57:23.154,3.3208,"0.70,0.18,0,0",0.18,0.0,0.0,,,,,
2026-05-22T13:57:23.362,3.5279,"0.90,0.18,0,0",0.18,0.0,0.0,,,,,
2026-05-22T13:57:23.570,3.7359,"1.10,0.36,0,0",0.36,0.0,0.0,,,,,
2026-05-22T13:57:23.777,3.9436,"1.30,1.64,0,0",1.64,0.0,0.0,,,,,
2026-05-22T13:57:23.985,4.1509,"1.50,0.18,0,0",0.18,0.0,0.0,,,,,
2026-05-22T13:57:24.192,4.3582,"1.70,0.18,0,0",0.18,0.0,0.0,ex 0 19,ex 0 19,,,
2026-05-22T13:57:24.400,4.5658,"2.00,1.45,0,0",1.45,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:57:24.608,4.7734,"2.20,0.18,0,0",0.18,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:57:24.816,4.9815,"2.40,0.36,0,0",0.36,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:57:25.023,5.1898,"2.60,1.45,0,0",1.45,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:57:25.231,5.3968,"2.80,0.36,0,0",0.36,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:57:25.440,5.6047,"3.00,0.91,0,0",0.91,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:57:25.647,5.8130,"3.20,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:57:25.855,6.0206,"3.40,0.18,0,0",0.18,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:57:26.062,6.2283,"3.60,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:57:26.270,6.4354,"3.80,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:57:26.477,6.6433,"4.00,0.18,0,0",0.18,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
