timestamp,t_seconds,arduino_raw_line,pressure_psig,voltage_V,current_A,latest_command,actuator_19_cmd,actuator_15_cmd,actuator_18_cmd,actuator_12_cmd
2026-05-22T15:53:27.499,0.0000,Arming ESC...,,0.0,0.0,,,,,
2026-05-22T15:53:27.707,0.2074,,,0.0,0.0,,,,,
2026-05-22T15:53:27.913,0.4147,,,0.0,0.0,,,,,
2026-05-22T15:53:28.120,0.6212,,,0.0,0.0,,,,,
2026-05-22T15:53:28.328,0.8283,,,0.0,0.0,,,,,
2026-05-22T15:53:28.534,1.0356,,,0.0,0.0,,,,,
2026-05-22T15:53:28.741,1.2425,,,0.0,0.0,,,,,
2026-05-22T15:53:28.949,1.4497,,,0.0,0.0,,,,,
2026-05-22T15:53:29.156,1.6568,,,0.0,0.0,,,,,
2026-05-22T15:53:29.363,1.8646,,,0.0,0.0,,,,,
2026-05-22T15:53:29.571,2.0714,,,0.0,0.0,,,,,
2026-05-22T15:53:29.781,2.2822,,,0.0,0.0,,,,,
2026-05-22T15:53:29.988,2.4895,,,0.0,0.0,,,,,
2026-05-22T15:53:30.196,2.6966,"0.10,10.55,0,0",10.55,0.0,0.0,,,,,
2026-05-22T15:53:30.404,2.9048,"0.30,10.73,0,0",10.73,0.0,0.0,,,,,
2026-05-22T15:53:30.613,3.1128,"0.50,12.55,0,0",12.55,0.0,0.0,,,,,
2026-05-22T15:53:30.821,3.3213,"0.70,12.00,0,0",12.0,0.0,0.0,,,,,
2026-05-22T15:53:31.029,3.5291,"0.90,10.73,0,0",10.73,0.0,0.0,,,,,
2026-05-22T15:53:31.237,3.7368,"1.10,10.00,0,0",10.0,0.0,0.0,,,,,
2026-05-22T15:53:31.444,3.9448,"1.30,10.00,0,0",10.0,0.0,0.0,,,,,
2026-05-22T15:53:31.652,4.1523,"1.50,10.18,0,0",10.18,0.0,0.0,,,,,
2026-05-22T15:53:31.859,4.3598,"1.70,10.00,0,0",10.0,0.0,0.0,,,,,
2026-05-22T15:53:32.067,4.5674,"2.00,9.82,0,0",9.82,0.0,0.0,,,,,
2026-05-22T15:53:32.275,4.7754,"2.20,9.82,0,0",9.82,0.0,0.0,,,,,
2026-05-22T15:53:32.482,4.9826,"2.40,9.64,0,0",9.64,0.0,0.0,,,,,
2026-05-22T15:53:32.689,5.1899,"2.60,10.91,0,0",10.91,0.0,0.0,,,,,
2026-05-22T15:53:32.897,5.3972,"2.80,9.64,0,0",9.64,0.0,0.0,,,,,
2026-05-22T15:53:33.104,5.6045,"3.00,10.00,0,0",10.0,0.0,0.0,,,,,
2026-05-22T15:53:33.312,5.8125,"3.20,9.45,0,0",9.45,0.0,0.0,,,,,
2026-05-22T15:53:33.520,6.0208,"3.40,9.27,0,0",9.27,0.0,0.0,,,,,
2026-05-22T15:53:33.728,6.2279,"3.60,9.64,0,0",9.64,0.0,0.0,,,,,
2026-05-22T15:53:33.935,6.4356,"3.80,10.55,0,0",10.55,0.0,0.0,,,,,
2026-05-22T15:53:34.143,6.6438,"4.00,9.27,0,0",9.27,0.0,0.0,,,,,
2026-05-22T15:53:34.351,6.8513,"4.20,9.45,0,0",9.45,0.0,0.0,,,,,
2026-05-22T15:53:34.559,7.0596,"4.40,9.45,0,0",9.45,0.0,0.0,,,,,
2026-05-22T15:53:34.767,7.2672,"4.70,9.27,0,0",9.27,0.0,0.0,,,,,
2026-05-22T15:53:34.974,7.4749,"4.90,9.09,0,0",9.09,0.0,0.0,,,,,
2026-05-22T15:53:35.183,7.6828,"5.10,10.36,0,0",10.36,0.0,0.0,,,,,
2026-05-22T15:53:35.390,7.8906,"5.30,10.18,0,0",10.18,0.0,0.0,,,,,
2026-05-22T15:53:35.597,8.0979,"5.50,8.73,0,0",8.73,0.0,0.0,,,,,
2026-05-22T15:53:35.804,8.3052,"5.70,8.91,0,0",8.91,0.0,0.0,,,,,
2026-05-22T15:53:36.012,8.5122,"5.90,8.55,0,0",8.55,0.0,0.0,,,,,
2026-05-22T15:53:36.220,8.7198,"6.10,8.36,0,0",8.36,0.0,0.0,,,,,
2026-05-22T15:53:36.427,8.9278,"6.30,8.55,0,0",8.55,0.0,0.0,,,,,
2026-05-22T15:53:36.634,9.1349,"6.50,8.18,0,0",8.18,0.0,0.0,,,,,
