timestamp,t_seconds,arduino_raw_line,pressure_psig,voltage_V,current_A,latest_command,actuator_19_cmd,actuator_15_cmd,actuator_18_cmd,actuator_12_cmd
2026-05-22T15:40:38.459,0.0000,Arming ESC...,,0.0,0.0,,,,,
2026-05-22T15:40:38.666,0.2080,,,0.0,0.0,,,,,
2026-05-22T15:40:38.874,0.4163,,,0.0,0.0,,,,,
2026-05-22T15:40:39.082,0.6236,,,0.0,0.0,,,,,
2026-05-22T15:40:39.289,0.8311,,,0.0,0.0,,,,,
2026-05-22T15:40:39.497,1.0389,,,0.0,0.0,,,,,
2026-05-22T15:40:39.705,1.2466,,,0.0,0.0,,,,,
2026-05-22T15:40:39.912,1.4542,,,0.0,0.0,,,,,
2026-05-22T15:40:40.119,1.6611,,,0.0,0.0,,,,,
2026-05-22T15:40:40.327,1.8686,,,0.0,0.0,,,,,
2026-05-22T15:40:40.534,2.0756,,,0.0,0.0,,,,,
2026-05-22T15:40:40.744,2.2864,,,0.0,0.0,,,,,
2026-05-22T15:40:40.951,2.4931,,,0.0,0.0,,,,,
2026-05-22T15:40:41.161,2.7004,"0.10,19.82,0,0",19.82,0.0,0.0,,,,,
2026-05-22T15:40:41.369,2.9102,"0.30,19.82,0,0",19.82,0.0,0.0,,,,,
2026-05-22T15:40:41.577,3.1179,"0.50,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:41.784,3.3259,"0.70,19.82,0,0",19.82,0.0,0.0,,,,,
2026-05-22T15:40:41.992,3.5335,"0.90,19.82,0,0",19.82,0.0,0.0,,,,,
2026-05-22T15:40:42.200,3.7415,"1.10,19.82,0,0",19.82,0.0,0.0,,,,,
2026-05-22T15:40:42.408,3.9494,"1.30,19.82,0,0",19.82,0.0,0.0,,,,,
2026-05-22T15:40:42.616,4.1571,"1.50,19.82,0,0",19.82,0.0,0.0,,,,,
2026-05-22T15:40:42.823,4.3648,"1.80,19.82,0,0",19.82,0.0,0.0,,,,,
2026-05-22T15:40:43.031,4.5722,"2.00,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:43.239,4.7799,"2.20,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:43.447,4.9879,"2.40,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:43.654,5.1958,"2.60,19.82,0,0",19.82,0.0,0.0,,,,,
2026-05-22T15:40:43.862,5.4033,"2.80,20.18,0,0",20.18,0.0,0.0,,,,,
2026-05-22T15:40:44.070,5.6112,"3.00,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:44.277,5.8191,"3.20,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:44.484,6.0263,"3.40,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:44.693,6.2339,"3.60,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:44.900,6.4417,"3.80,20.18,0,0",20.18,0.0,0.0,,,,,
2026-05-22T15:40:45.108,6.6491,"4.00,20.73,0,0",20.73,0.0,0.0,,,,,
2026-05-22T15:40:45.315,6.8573,"4.20,20.73,0,0",20.73,0.0,0.0,,,,,
2026-05-22T15:40:45.522,7.0643,"4.40,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:45.730,7.2719,"4.70,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:45.938,7.4798,"4.90,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:46.145,7.6875,"5.10,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:46.353,7.8949,"5.30,19.45,0,0",19.45,0.0,0.0,,,,,
2026-05-22T15:40:46.561,8.1023,"5.50,20.00,0,0",20.0,0.0,0.0,,,,,
2026-05-22T15:40:46.769,8.3105,"5.70,19.45,0,0",19.45,0.0,0.0,,,,,
2026-05-22T15:40:46.977,8.5178,"5.90,19.45,0,0",19.45,0.0,0.0,,,,,
2026-05-22T15:40:47.185,8.7262,"6.10,20.00,0,0",20.0,0.0,0.0,,,,,
2026-05-22T15:40:47.392,8.9336,"6.30,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:47.600,9.1414,"6.50,19.45,0,0",19.45,0.0,0.0,,,,,
2026-05-22T15:40:47.808,9.3492,"6.70,19.64,0,0",19.64,0.0,0.0,,,,,
2026-05-22T15:40:48.016,9.5573,"6.90,19.64,0,0",19.64,0.0,0.0,,,,,
